[index]:178
[   0]  1  1   -1    -1
[   1]  4  1 1533   158
[   2]  4  1 1533   227
[   3]  4  1 1533   234
[   4]  4  1 1533   228
[   5]  4  1 1533   232
[   6]  4  1 1533   224
[   7]  4  1 1515   227
[   9]  4  1 1434   219
[  10]  4  3  995   221
[  11]  4  3  979   228
[  12]  4  3  979   236
[  13]  4  3  979   233
[  14]  4  3  972   228
[  15]  4  3  979   223
[  16]  4  3 1042   230
[  17]  4  3 1112   228
[  18]  4  3 1104   227
[  19]  4  3 1166   239
[  20]  4  3 1236   228
[  21]  4  1 1446   231
[  22]  5  1 1533   225
[  23]  5  1 1533   228
[  24]  5  1 1533   217
[  25]  5  1 1563   226
[  26]  5  1 1590   228
[  27]  5  1 1629   244
[  28] 61  1    0 -6300
[  29]  5  3 2006   227
[  30]  5  3 2037   218
[  31]  5  3 2029   227
[  32]  5  3 2029   233
[  33]  5  3 2029   230
[  34]  5  3 2029   227
[  35]  5  3 1998   232
[  36] 12 12 1998   226
[  37] 12 12 1998   233
[  38] 12 12 1998   228
[  39] 12 12 1998   221
[  40] 12 12 1998   231
[  41] 11 11 1533   226
[  42] 11 11 1533   232
[  43] 23 23 1533   229
[  44] 23 23 1533   224
[  45] 99  1    0   234
[  46] 23 23    0    20
[  47] 23 23    0   143
[  48] 23 23    0   225
[  49] 23 23    0   236
[  50] 23 23    0   224
[  51] 23 23    0   236
[  52] 99  1    0   234
[  53] 99  1    0     0
[  54] 99  1    0     0
[  55] 99  1    0     0
[  56] 99  1    0     0
[  57] 99  1    0     0
[  58] 99  1    0     0
[  59] 99  1    0     0
[  60] 23 23    0    47
[  61]  4  1 1205   245
[  62]  5  1 1557   270
[  63]  5  1 1641   281
[  64]  5  3 1998   339
[  65]  5  3 2029   355
[  66]  5  3 2029   468
[  67]  5  3 1990   320
[  68]  5  3 2022   195
[  69]  5  3 2014   235
[  70]  5  3 2045   232
[  71]  5  3 2060   265
[  72]  5  3 2045   216
[  73]  5  3 2029   256
[  74]  5  3 2053   290
[  75]  5  3 2076   279
[  76]  5  3 2092   267
[  77] 31 31 2200   252
[  78] 31 31 2200   347
[  79] 12 12 2200   212
[  80] 12 12 2200   242
[  81] 12 12 2200   234
[  82] 12 12 2200   229
[  83] 12 12 2200   227
[  84]  5  1 1882   259
[  85]  4  1 1533   230
[  86]  4  1 1533   223
[  87]  4  1 1530   229
[  88]  4  1 1515   220
[  89]  4  1 1473   221
[  90]  4  1 1413   220
[  91]  4  3 1010   225
[  92]  4  3  964   232
[  93]  4  3  964   231
[  94]  4  3  964   228
[  95]  4  3  964   222
[  96]  4  3  956   231
[  97]  4  3  956   215
[  98]  4  3 1539   247
[  99]  4  3  972   242
[ 100]  4  3  940   218
[ 101] 31 31  800   221
[ 102] 31 31  800   229
[ 103]  4  3  972   231
[ 104]  4  3  979   235
[ 105]  4  3  964   246
[ 106]  4  3  956   237
[ 107]  4  3  964   221
[ 108]  4  3  979   239
[ 109]  4  3 1049   232
[ 110]  4  3 1174   223
[ 111]  4  3 1158   236
[ 112]  4  3 1213   241
[ 113]  4  3 1252   233
[ 114]  4  3 1259   232
[ 115]  4  3 1213   242
[ 116]  6  1 1455   224
[ 117]  6  1 1509   231
[ 118]  6  1 1482   218
[ 119]  4  1 1449   231
[ 120]  4  3 1275   225
[ 121]  4  3 1112   230
[ 122]  4  1 1057   240
[ 123]  5  1    0   218
[ 124]  6  1 1740   226
[ 125]  6  1 1740   220
[ 126]  5  1 1740   226
[ 127]  5  1 1740   233
[ 128]  5  1 1740   237
[ 129]  5  1 1647   259
[ 130]  4  1 1533   256
[ 131]  4  1 1533   285
[ 132]  4  1 1533   280
[ 133]  4  1 1533   280
[ 134]  4  1 1533   284
[ 135]  4  1 1533   363
[ 136]  4  1 1422   257
[ 137]  4  1  948   251
[ 138]  5  1  800   225
[ 139]  5  1  800   232
[ 140]  5  1  800   228
[ 141]  5  1  800   216
[ 142] 31 31  800   234
[ 143]  4  3 1080   230
[ 144]  4  3 1135   228
[ 145]  4  3 1205   240
[ 146]  4  3 1236   231
[ 147]  4  3 1290   238
[ 148]  6  1 1527   234
[ 149]  6  1 1533   231
[ 150]  6  1 1533   226
[ 151]  6  1 1533   234
[ 152]  6  1 1533   229
[ 153]  6  1 1533   225
[ 154]  6  1 1533   231
[ 155]  6  1 1533   226
[ 156]  6  1 1533   232
[ 157]  5  1 1533   230
[ 158]  5  1 1533   225
[ 159]  5  1 1533   223
[ 160]  4  1 1533   228
[ 161]  4  1 1533   223
[ 162]  4  1 1533   228
[ 163]  4  1 1533   405
[ 164] 62  1    0 -32043
[ 165]  4  1 1533   218
[ 166]  4  1 1533     0
[ 167]  4  1 1533     0
[ 168]  4  1 1491  -958
[ 169]  4  3  902 -1194
[ 170]  4  3  902 -1429
[ 171]  4  3  894     0
[ 172] 31 31  800     0
[ 173] 31 31  800     0
[ 174] 31 31  800     0
[ 175]  4  3 1088     0
[ 176]  4  1 1275     0
[ 177]  5  1 1533     0
[ 178]  5  1 1533     0
[ 179]  5  1 1533   100
[ 180]  55 55   0     0
[ 181]  5  1 1533   500
[ 182] 24 24 1533     0
[ 183] 49 49    0     0



